"","Especie","Y","X"
"1","Xiphophorus birchmanni",20.89836,-98.602114
"2","Xiphophorus birchmanni",20.905816,-98.129826
"3","Xiphophorus birchmanni",21.089001,-98.593002
"4","Xiphophorus birchmanni",21.053517,-98.502117
"5","Xiphophorus birchmanni",21.172069,-98.596378
"6","Xiphophorus birchmanni",21.216261,-98.739803
"7","Xiphophorus birchmanni",21.433806,-98.874667
"8","Xiphophorus birchmanni",20.32984,-99.42963
"9","Xiphophorus birchmanni",20.752778,-98.650833
"10","Xiphophorus birchmanni",21.01525,-98.341556
"11","Xiphophorus birchmanni",21.01525,-98.540222
"12","Xiphophorus birchmanni",21.898899,-98.945038
"13","Xiphophorus birchmanni",21.781389,-100.640282
"14","Xiphophorus birchmanni",21.127917,-98.564083
"15","Xiphophorus birchmanni",21.151944,-98.520278
"16","Xiphophorus birchmanni",21.073944,-98.416167
"17","Xiphophorus birchmanni",20.908333,-98.444722
"18","Xiphophorus birchmanni",21.187778,-98.2975
"19","Xiphophorus birchmanni",21.257778,-98.743333
"20","Xiphophorus birchmanni",20.73389,-98.715
