"","Especie","Y","X"
"1","Xiphophorus cortezi",21.436001,-98.932999
"2","Xiphophorus cortezi",21.374722,-98.769722
"3","Xiphophorus cortezi",21.623056,-98.991667
"4","Xiphophorus cortezi",21.144361,-98.504278
"5","Xiphophorus cortezi",21.479669,-98.967
"6","Xiphophorus cortezi",21.390161,-98.875005
"7","Xiphophorus cortezi",21.326417,-98.820889
"8","Xiphophorus cortezi",21.016419,-98.339283
"9","Xiphophorus cortezi",21.169611,-98.596055
"10","Xiphophorus cortezi",20.752778,-98.650833
"11","Xiphophorus cortezi",20.8925,-98.592833
"12","Xiphophorus cortezi",20.733833,-98.714833
"13","Xiphophorus cortezi",21.01525,-98.540222
"14","Xiphophorus cortezi",20.9669,-98.7994
"15","Xiphophorus cortezi",21.393889,-98.998611
"16","Xiphophorus cortezi",21.986944,-99.27
"17","Xiphophorus cortezi",20.014722,-98.337778
"18","Xiphophorus cortezi",21.267861,-99.050056
"19","Xiphophorus cortezi",21.243,-99.122703
"20","Xiphophorus cortezi",21.089167,-98.593611
"21","Xiphophorus cortezi",20.908611,-98.454167
"22","Xiphophorus cortezi",21.6636,-98.9028
"23","Xiphophorus cortezi",20.986111,-98.6575
"24","Xiphophorus cortezi",22.765833,-101.089167
"25","Xiphophorus cortezi",21.416667,-98.833333
