"","Especie","Y","X"
"1","Xiphophorus malinche",20.924506,-98.577487
"2","Xiphophorus malinche",20.892717,-98.610036
"3","Xiphophorus malinche",20.752778,-98.650833
"4","Xiphophorus malinche",21.01525,-98.341556
"5","Xiphophorus malinche",21.291667,-98.806111
"6","Xiphophorus malinche",20.014722,-98.337778
"7","Xiphophorus malinche",21.171944,-98.595555
"8","Xiphophorus malinche",21.103556,-98.474056
"9","Xiphophorus malinche",20.429729,-99.414467
"10","Xiphophorus malinche",20.721028,-98.716972
"11","Xiphophorus malinche",20.898596,-98.800054
