"","Especie","Y","X"
"1","Xiphophorus pygmaeus",21.436001,-98.932999
"2","Xiphophorus pygmaeus",21.22208,-98.756166
"3","Xiphophorus pygmaeus",21.479669,-98.967
"4","Xiphophorus pygmaeus",21.781389,-100.640282
"5","Xiphophorus pygmaeus",23.146111,-99.151667
"6","Xiphophorus pygmaeus",21.392694,-98.870528
"7","Xiphophorus pygmaeus",21.440833,-98.8875
"8","Xiphophorus pygmaeus",22.45,-98.9667
"9","Xiphophorus pygmaeus",21.983333,-99
"10","Xiphophorus pygmaeus",21.8473,-98.939144
"11","Xiphophorus pygmaeus",18.885556,-99.161389
"12","Xiphophorus pygmaeus",22.091667,-98.975
"13","Xiphophorus pygmaeus",21.6125,-98.992222
"14","Xiphophorus pygmaeus",21.343326,-98.832545
"15","Xiphophorus pygmaeus",21.425,-98.841667
"16","Xiphophorus pygmaeus",21.749694,-98.957097
"17","Xiphophorus pygmaeus",22.166667,-101
