"","Especie","Y","X"
"1","Xiphophorus variatus",28.543735,-81.35817
"2","Xiphophorus variatus",29.644175,-82.358158
"3","Xiphophorus variatus",22.392153,114.104667
"4","Xiphophorus variatus",34.109857,-118.307498
"5","Xiphophorus variatus",30.290062,-97.731025
"6","Xiphophorus variatus",22.368362,114.018746
"7","Xiphophorus variatus",19.275419,-99.086198
"8","Xiphophorus variatus",29.734421,-82.24861
"9","Xiphophorus variatus",47.762017,18.07032
"10","Xiphophorus variatus",22.315331,114.165561
"11","Xiphophorus variatus",33.152699,-117.149074
"12","Xiphophorus variatus",29.698508,-82.34368
"13","Xiphophorus variatus",28.597029,-81.275503
"14","Xiphophorus variatus",20.900755,-98.599399
"15","Xiphophorus variatus",21.098815,-98.587382
"16","Xiphophorus variatus",22.432786,114.118327
"17","Xiphophorus variatus",25.7612,-80.197444
"18","Xiphophorus variatus",25.669921,-100.249846
"19","Xiphophorus variatus",22.507284,114.2479
"20","Xiphophorus variatus",22.512068,114.371662
"21","Xiphophorus variatus",22.266836,113.989303
"22","Xiphophorus variatus",25.602739,-100.258135
"23","Xiphophorus variatus",28.47637,-81.294793
"24","Xiphophorus variatus",22.311566,114.079939
"25","Xiphophorus variatus",22.246529,114.111421
"26","Xiphophorus variatus",22.236735,114.061512
"27","Xiphophorus variatus",29.621167,-82.307033
"28","Xiphophorus variatus",19.996787,-97.586777
"29","Xiphophorus variatus",19.883698,-99.119179
"30","Xiphophorus variatus",22.269992,114.303364
"31","Xiphophorus variatus",22.357639,114.212614
"32","Xiphophorus variatus",22.271194,114.360052
"33","Xiphophorus variatus",22.471991,114.182593
"34","Xiphophorus variatus",29.78785,-82.216977
"35","Xiphophorus variatus",22.368179,114.341167
"36","Xiphophorus variatus",22.270067,113.932957
"37","Xiphophorus variatus",22.310454,114.319896
"38","Xiphophorus variatus",28.577029,-81.207398
"39","Xiphophorus variatus",28.006387,-80.627746
"40","Xiphophorus variatus",22.230574,114.217932
"41","Xiphophorus variatus",28.530781,-81.242842
"42","Xiphophorus variatus",37.126656,-113.597115
"43","Xiphophorus variatus",25.396875,-100.797465
"44","Xiphophorus variatus",5.762184,-73.160331
"45","Xiphophorus variatus",22.432877,114.266798
"46","Xiphophorus variatus",21.002778,-100.799722
"47","Xiphophorus variatus",20.1225,-101.862528
"48","Xiphophorus variatus",21.125,-100.854444
"49","Xiphophorus variatus",5.770833,-73.111528
"50","Xiphophorus variatus",21.76786,-99.28475
"51","Xiphophorus variatus",-22.647222,-43.451611
"52","Xiphophorus variatus",21.679167,-97.971667
"53","Xiphophorus variatus",21.508611,-98.366389
"54","Xiphophorus variatus",22.389273,114.2703
"55","Xiphophorus variatus",20.68675,-103.693361
"56","Xiphophorus variatus",21.329444,-98.821389
"57","Xiphophorus variatus",21.886944,-98.948333
"58","Xiphophorus variatus",21.359167,-98.771389
"59","Xiphophorus variatus",21.846667,-98.937222
"60","Xiphophorus variatus",21.750278,-98.956667
"61","Xiphophorus variatus",21.623056,-98.991667
"62","Xiphophorus variatus",23.139,-99.114998
"63","Xiphophorus variatus",22.838056,-99.048611
"64","Xiphophorus variatus",22.836389,-99.206667
"65","Xiphophorus variatus",22.714444,-99.021111
"66","Xiphophorus variatus",23.030833,-99.093333
"67","Xiphophorus variatus",22.95,-98.998611
"68","Xiphophorus variatus",21.100394,-97.747497
"69","Xiphophorus variatus",20.635361,-97.39925
"70","Xiphophorus variatus",20.732,-98.022694
"71","Xiphophorus variatus",19.927194,-96.84525
"72","Xiphophorus variatus",25.209,-100.826
"73","Xiphophorus variatus",22.921653,-98.082942
"74","Xiphophorus variatus",22.985978,-101.194569
"75","Xiphophorus variatus",22.987833,-99.148083
"76","Xiphophorus variatus",21.479669,-98.967
"77","Xiphophorus variatus",21.390161,-98.875005
"78","Xiphophorus variatus",20.50225,-97.900722
"79","Xiphophorus variatus",20.3267,-101.818001
"80","Xiphophorus variatus",18.906379,-98.970268
"81","Xiphophorus variatus",18.727778,-99.254722
"82","Xiphophorus variatus",18.7745,-99.234398
"83","Xiphophorus variatus",21.2514,-102.267754
"84","Xiphophorus variatus",26.332,-100.83
"85","Xiphophorus variatus",21.450512,-157.969666
"86","Xiphophorus variatus",20.198969,-97.971358
"87","Xiphophorus variatus",19.137703,-102.235555
"88","Xiphophorus variatus",26.40275,-100.958803
"89","Xiphophorus variatus",22.86833,-99.24528
"90","Xiphophorus variatus",22.998889,-98.149167
"91","Xiphophorus variatus",23.743611,-98.776111
"92","Xiphophorus variatus",23.911389,-99.114722
"93","Xiphophorus variatus",21.975833,-99.1925
"94","Xiphophorus variatus",22.75795,-99.08415
"95","Xiphophorus variatus",29.441442,-82.341764
"96","Xiphophorus variatus",45.567324,-112.33923
"97","Xiphophorus variatus",46.437588,-113.365536
"98","Xiphophorus variatus",20.371416,-97.887429
"99","Xiphophorus variatus",19.626017,-100.693055
"100","Xiphophorus variatus",33.731518,-117.861663
"101","Xiphophorus variatus",33.783307,-116.8036
"102","Xiphophorus variatus",25.526667,-99.8775
"103","Xiphophorus variatus",25.576389,-99.9625
"104","Xiphophorus variatus",27.61667,-100.9167
"105","Xiphophorus variatus",20.60799,-103.8113
"106","Xiphophorus variatus",22.586108,-99.383214
"107","Xiphophorus variatus",-20.5,57.583332
"108","Xiphophorus variatus",18.473815,-71.067135
"109","Xiphophorus variatus",20.966667,-97.666667
"110","Xiphophorus variatus",20.833333,-97.583333
"111","Xiphophorus variatus",20.916667,-97.916667
"112","Xiphophorus variatus",20.866667,-97.533333
"113","Xiphophorus variatus",27.846191,-82.377628
"114","Xiphophorus variatus",24.32365,-99.09057
"115","Xiphophorus variatus",24.58454,-98.95096
"116","Xiphophorus variatus",18.169446,-71.253746
"117","Xiphophorus variatus",33.333369,-115.83416
"118","Xiphophorus variatus",24.62007,-99.04104
"119","Xiphophorus variatus",21.25,-98.466667
"120","Xiphophorus variatus",23.381061,-98.019361
"121","Xiphophorus variatus",22.986796,-98.062113
"122","Xiphophorus variatus",23.16615,-97.95374
"123","Xiphophorus variatus",26.637745,-80.176395
"124","Xiphophorus variatus",28.220079,-80.685189
"125","Xiphophorus variatus",27.966349,-82.412079
"126","Xiphophorus variatus",27.487817,-82.549069
"127","Xiphophorus variatus",27.845294,-80.519156
"128","Xiphophorus variatus",20.866667,-97.7
"129","Xiphophorus variatus",21.133333,-97.866667
"130","Xiphophorus variatus",22.743,-98.975
"131","Xiphophorus variatus",26.596389,-80.121389
"132","Xiphophorus variatus",27.773153,-82.335003
"133","Xiphophorus variatus",27.633806,-82.53776
"134","Xiphophorus variatus",28.65028,-82.48828
"135","Xiphophorus variatus",45.457361,-111.929226
"136","Xiphophorus variatus",21.382778,-97.699167
"137","Xiphophorus variatus",21.270278,-97.730833
"138","Xiphophorus variatus",33.76695,-118.01835
"139","Xiphophorus variatus",23.375,-99.041667
"140","Xiphophorus variatus",45.383014,-112.463911
"141","Xiphophorus variatus",20.133333,-97.866667
"142","Xiphophorus variatus",32.676373,-114.631348
"143","Xiphophorus variatus",23.172778,-99.034444
"144","Xiphophorus variatus",46.717161,-113.321797
"145","Xiphophorus variatus",23.416667,-99.416667
"146","Xiphophorus variatus",34.29323,-111.66459
"147","Xiphophorus variatus",22.53564,-99.21925
"148","Xiphophorus variatus",21.523611,-98.417222
"149","Xiphophorus variatus",21.425278,-98.336667
"150","Xiphophorus variatus",21.754722,-98.437222
"151","Xiphophorus variatus",24.001389,-98.999444
"152","Xiphophorus variatus",23.417222,-99.02
"153","Xiphophorus variatus",22.819722,-99.009722
"154","Xiphophorus variatus",23.328056,-99.02
"155","Xiphophorus variatus",18.905278,-98.185833
"156","Xiphophorus variatus",33.432874,-111.945877
"157","Xiphophorus variatus",9.833333,-83.866667
"158","Xiphophorus variatus",45.186254,-112.86587
"159","Xiphophorus variatus",22.8,-98.2
"160","Xiphophorus variatus",23.033333,-97.916667
"161","Xiphophorus variatus",23.2318,-98.14566
"162","Xiphophorus variatus",18.063611,-94.969444
"163","Xiphophorus variatus",22.765833,-101.089167
"164","Xiphophorus variatus",21.975,-99.041667
"165","Xiphophorus variatus",21.993266,-98.798196
"166","Xiphophorus variatus",20.133333,-97.033333
"167","Xiphophorus variatus",20.583333,-97.533333
"168","Xiphophorus variatus",20.5,-97.2
"169","Xiphophorus variatus",21.425,-98.841667
"170","Xiphophorus variatus",22.5125,-99.288055
"171","Xiphophorus variatus",22.792778,-98.707222
"172","Xiphophorus variatus",22.75,-98.666667
"173","Xiphophorus variatus",20,-97.335
"174","Xiphophorus variatus",21.916667,-99
"175","Xiphophorus variatus",22.916667,-99.033333
"176","Xiphophorus variatus",22.833333,-98.916667
"177","Xiphophorus variatus",22.166667,-98.166667
