"","get.especiecurrent..Especie","get.especiecurrent..X","get.especiecurrent..Y"
"1","Xiphophorus birchmanni",-98.602114,20.89836
"2","Xiphophorus birchmanni",-98.129826,20.905816
"3","Xiphophorus birchmanni",-98.593002,21.089001
"4","Xiphophorus birchmanni",-98.502117,21.053517
"5","Xiphophorus birchmanni",-98.596378,21.172069
"6","Xiphophorus birchmanni",-98.739803,21.216261
"7","Xiphophorus birchmanni",-98.874667,21.433806
"8","Xiphophorus birchmanni",-99.42963,20.32984
"9","Xiphophorus birchmanni",-98.650833,20.752778
"10","Xiphophorus birchmanni",-98.341556,21.01525
"11","Xiphophorus birchmanni",-98.540222,21.01525
"12","Xiphophorus birchmanni",-98.945038,21.898899
"13","Xiphophorus birchmanni",-100.640282,21.781389
"14","Xiphophorus birchmanni",-98.564083,21.127917
"15","Xiphophorus birchmanni",-98.520278,21.151944
"16","Xiphophorus birchmanni",-98.416167,21.073944
"17","Xiphophorus birchmanni",-98.444722,20.908333
"18","Xiphophorus birchmanni",-98.2975,21.187778
"19","Xiphophorus birchmanni",-98.743333,21.257778
"20","Xiphophorus birchmanni",-98.715,20.73389
