"","get.especiecurrent..Especie","get.especiecurrent..X","get.especiecurrent..Y"
"1","Xiphophorus cortezi",-98.932999,21.436001
"2","Xiphophorus cortezi",-98.769722,21.374722
"3","Xiphophorus cortezi",-98.991667,21.623056
"4","Xiphophorus cortezi",-98.504278,21.144361
"5","Xiphophorus cortezi",-98.967,21.479669
"6","Xiphophorus cortezi",-98.875005,21.390161
"7","Xiphophorus cortezi",-98.820889,21.326417
"8","Xiphophorus cortezi",-98.339283,21.016419
"9","Xiphophorus cortezi",-98.596055,21.169611
"10","Xiphophorus cortezi",-98.650833,20.752778
"11","Xiphophorus cortezi",-98.592833,20.8925
"12","Xiphophorus cortezi",-98.714833,20.733833
"13","Xiphophorus cortezi",-98.540222,21.01525
"14","Xiphophorus cortezi",-98.7994,20.9669
"15","Xiphophorus cortezi",-98.998611,21.393889
"16","Xiphophorus cortezi",-99.27,21.986944
"17","Xiphophorus cortezi",-98.337778,20.014722
"18","Xiphophorus cortezi",-99.050056,21.267861
"19","Xiphophorus cortezi",-99.122703,21.243
"20","Xiphophorus cortezi",-98.593611,21.089167
"21","Xiphophorus cortezi",-98.454167,20.908611
"22","Xiphophorus cortezi",-98.9028,21.6636
"23","Xiphophorus cortezi",-98.6575,20.986111
"25","Xiphophorus cortezi",-98.833333,21.416667
