"","get.especiecurrent..Especie","get.especiecurrent..X","get.especiecurrent..Y"
"1","Xiphophorus malinche",-98.577487,20.924506
"2","Xiphophorus malinche",-98.610036,20.892717
"3","Xiphophorus malinche",-98.650833,20.752778
"4","Xiphophorus malinche",-98.341556,21.01525
"5","Xiphophorus malinche",-98.806111,21.291667
"6","Xiphophorus malinche",-98.337778,20.014722
"7","Xiphophorus malinche",-98.595555,21.171944
"8","Xiphophorus malinche",-98.474056,21.103556
"9","Xiphophorus malinche",-99.414467,20.429729
"10","Xiphophorus malinche",-98.716972,20.721028
"11","Xiphophorus malinche",-98.800054,20.898596
