"","get.especiecurrent..Especie","get.especiecurrent..X","get.especiecurrent..Y"
"1","Xiphophorus pygmaeus",-98.932999,21.436001
"2","Xiphophorus pygmaeus",-98.756166,21.22208
"3","Xiphophorus pygmaeus",-98.967,21.479669
"4","Xiphophorus pygmaeus",-100.640282,21.781389
"5","Xiphophorus pygmaeus",-99.151667,23.146111
"6","Xiphophorus pygmaeus",-98.870528,21.392694
"7","Xiphophorus pygmaeus",-98.8875,21.440833
"8","Xiphophorus pygmaeus",-98.9667,22.45
"9","Xiphophorus pygmaeus",-99,21.983333
"10","Xiphophorus pygmaeus",-98.939144,21.8473
"12","Xiphophorus pygmaeus",-98.975,22.091667
"13","Xiphophorus pygmaeus",-98.992222,21.6125
"14","Xiphophorus pygmaeus",-98.832545,21.343326
"15","Xiphophorus pygmaeus",-98.841667,21.425
"16","Xiphophorus pygmaeus",-98.957097,21.749694
