"","get.especiecurrent..Especie","get.especiecurrent..X","get.especiecurrent..Y"
"7","Xiphophorus variatus",-99.086198,19.275419
"14","Xiphophorus variatus",-98.599399,20.900755
"15","Xiphophorus variatus",-98.587382,21.098815
"29","Xiphophorus variatus",-99.119179,19.883698
"50","Xiphophorus variatus",-99.28475,21.76786
"52","Xiphophorus variatus",-97.971667,21.679167
"53","Xiphophorus variatus",-98.366389,21.508611
"56","Xiphophorus variatus",-98.821389,21.329444
"57","Xiphophorus variatus",-98.948333,21.886944
"58","Xiphophorus variatus",-98.771389,21.359167
"59","Xiphophorus variatus",-98.937222,21.846667
"60","Xiphophorus variatus",-98.956667,21.750278
"61","Xiphophorus variatus",-98.991667,21.623056
"62","Xiphophorus variatus",-99.114998,23.139
"63","Xiphophorus variatus",-99.048611,22.838056
"64","Xiphophorus variatus",-99.206667,22.836389
"65","Xiphophorus variatus",-99.021111,22.714444
"66","Xiphophorus variatus",-99.093333,23.030833
"67","Xiphophorus variatus",-98.998611,22.95
"75","Xiphophorus variatus",-99.148083,22.987833
"76","Xiphophorus variatus",-98.967,21.479669
"77","Xiphophorus variatus",-98.875005,21.390161
"89","Xiphophorus variatus",-99.24528,22.86833
"93","Xiphophorus variatus",-99.1925,21.975833
"94","Xiphophorus variatus",-99.08415,22.75795
"106","Xiphophorus variatus",-99.383214,22.586108
"119","Xiphophorus variatus",-98.466667,21.25
"130","Xiphophorus variatus",-98.975,22.743
"139","Xiphophorus variatus",-99.041667,23.375
"143","Xiphophorus variatus",-99.034444,23.172778
"145","Xiphophorus variatus",-99.416667,23.416667
"147","Xiphophorus variatus",-99.21925,22.53564
"148","Xiphophorus variatus",-98.417222,21.523611
"149","Xiphophorus variatus",-98.336667,21.425278
"150","Xiphophorus variatus",-98.437222,21.754722
"153","Xiphophorus variatus",-99.009722,22.819722
"154","Xiphophorus variatus",-99.02,23.328056
"164","Xiphophorus variatus",-99.041667,21.975
"165","Xiphophorus variatus",-98.798196,21.993266
"169","Xiphophorus variatus",-98.841667,21.425
"170","Xiphophorus variatus",-99.288055,22.5125
"171","Xiphophorus variatus",-98.707222,22.792778
"172","Xiphophorus variatus",-98.666667,22.75
"174","Xiphophorus variatus",-99,21.916667
"175","Xiphophorus variatus",-99.033333,22.916667
"176","Xiphophorus variatus",-98.916667,22.833333
"177","Xiphophorus variatus",-98.166667,22.166667
"178","Xiphophorus variatus",-97.916667,22.2
"179","Xiphophorus variatus",-97.925,22.258333
"180","Xiphophorus variatus",-99.091667,22.041667
"181","Xiphophorus variatus",-98.916667,23.3
"182","Xiphophorus variatus",-99.7,21.5
"183","Xiphophorus variatus",-98.975,23.208333
"184","Xiphophorus variatus",-99.133333,22.133333
"185","Xiphophorus variatus",-98.258333,21.308333
"186","Xiphophorus variatus",-98.508333,21.875
"187","Xiphophorus variatus",-98.425,21.591667
"189","Xiphophorus variatus",-98.814591,23.234555
"190","Xiphophorus variatus",-99.253449,21.971841
