"","gbifID","institutionCode","catalogNumber","kingdom","phylum","order","family","genus","species","lat","lon","year","country"
"1","4080604660","iNaturalist","153534904","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",20.89836,-98.602114,2023,"Mexico"
"2","2006057385","iNaturalist","20712871","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",20.905816,-98.129826,2016,"Mexico"
"3","4399492342","ENCB-IPN","P6118","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.089001,-98.593002,2010,"Mexico"
"4","2629259363","ENCB-IPN","P5933","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.053517,-98.502117,2008,"Mexico"
"5","2629255444","ENCB-IPN","P5922","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.172069,-98.596378,2008,"Mexico"
"6","2629247459","ENCB-IPN","P5921","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.216261,-98.739803,2008,"Mexico"
"7","2629495378","FB-UMSNH","2865","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.433806,-98.874667,2007,"Mexico"
"8","4169270984","IBUNAM","18311","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",20.32984,-99.42963,2007,"Mexico"
"9","1894765525","FCN-UAQ","UAQ-P-96","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",20.752778,-98.650833,2004,"Mexico"
"10","1894765495","FCN-UAQ","UAQ-P-88","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.01525,-98.341556,2004,"Mexico"
"11","1894765436","FCN-UAQ","UAQ-P-108","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.01525,-98.540222,2004,"Mexico"
"12","1894765474","FCN-UAQ","UAQ-P-83","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.898899,-98.945038,2003,"Mexico"
"13","1894765494","FCN-UAQ","UAQ-P-86","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.781389,-100.640282,2003,"Mexico"
"14","1895258663","FCN-UAQ","BUAQ-P 100","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.127917,-98.564083,2000,"Mexico"
"15","2629261388","ENCB-IPN","P4982","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.151944,-98.520278,2000,"Mexico"
"16","1895258680","FCN-UAQ","BUAQ-P 158","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.073944,-98.416167,2000,"Mexico"
"17","2629261386","ENCB-IPN","P4846","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",20.908333,-98.444722,1999,"Mexico"
"18","1895583837","ENCB-IPN","P4769","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.187778,-98.2975,1998,"Mexico"
"19","2629260755","ENCB-IPN","P107","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",21.257778,-98.743333,1940,"Mexico"
"20","892756536","MZNA","145662","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus birchmanni",20.73389,-98.715,NA,"Mexico"
