"","gbifID","institutionCode","catalogNumber","kingdom","phylum","order","family","genus","species","lat","lon","year","country"
"1","4399492323","ENCB-IPN","P6116","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.436001,-98.932999,2010,"Mexico"
"2","2629252985","ENCB-IPN","P5966","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.374722,-98.769722,2009,"Mexico"
"3","2629254865","ENCB-IPN","P5957","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.623056,-98.991667,2009,"Mexico"
"4","2629500235","FB-UMSNH","4081","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.144361,-98.504278,2007,"Mexico"
"5","2629496832","FB-UMSNH","8092","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.479669,-98.967,2007,"Mexico"
"6","2629493377","FB-UMSNH","8279","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.390161,-98.875005,2007,"Mexico"
"7","2629494605","FB-UMSNH","8165","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.326417,-98.820889,2007,"Mexico"
"8","2629503122","FB-UMSNH","2851","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.016419,-98.339283,2007,"Mexico"
"9","2629493253","FB-UMSNH","2953","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.169611,-98.596055,2007,"Mexico"
"10","1894764591","FCN-UAQ","UAQ-P-96","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",20.752778,-98.650833,2004,"Mexico"
"11","1894764639","FCN-UAQ","UAQ-P-103","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",20.8925,-98.592833,2004,"Mexico"
"12","2629500274","FB-UMSNH","2737","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",20.733833,-98.714833,2003,"Mexico"
"13","1894764685","FCN-UAQ","UAQ-P-105","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.01525,-98.540222,2003,"Mexico"
"14","1894764409","FCN-UAQ","UAQ-P-114","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",20.9669,-98.7994,2003,"Mexico"
"15","2629251338","ENCB-IPN","P4886","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.393889,-98.998611,2000,"Mexico"
"16","2629260846","ENCB-IPN","P4892","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.986944,-99.27,2000,"Mexico"
"17","2629251282","ENCB-IPN","P4954","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",20.014722,-98.337778,2000,"Mexico"
"18","1895259173","FCN-UAQ","BUAQ-P 126","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.267861,-99.050056,2000,"Mexico"
"19","1894764523","FCN-UAQ","UAQ-P-124","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.243,-99.122703,2000,"Mexico"
"20","2629252147","ENCB-IPN","P4985","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.089167,-98.593611,2000,"Mexico"
"21","2629252194","ENCB-IPN","P4845","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",20.908611,-98.454167,1999,"Mexico"
"22","1932821498","TNHC","000026116","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.6636,-98.9028,1997,"Mexico"
"23","2629248726","ENCB-IPN","P4188","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",20.986111,-98.6575,1974,"Mexico"
"24","2629253304","ENCB-IPN","P792","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",22.765833,-101.089167,1954,"Mexico"
"25","1889079413","UMMZ","177302","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus cortezi",21.416667,-98.833333,1939,"Mexico"
