"","gbifID","institutionCode","catalogNumber","kingdom","phylum","order","family","genus","species","lat","lon","year","country"
"1","4130028137","iNaturalist","165642601","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus malinche",20.924506,-98.577487,2023,"Mexico"
"2","2629254977","ENCB-IPN","P5923","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus malinche",20.892717,-98.610036,2008,"Mexico"
"3","1894766192","FCN-UAQ","UAQ-P-97","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus malinche",20.752778,-98.650833,2004,"Mexico"
"4","1894766182","FCN-UAQ","UAQ-P-92","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus malinche",21.01525,-98.341556,2003,"Mexico"
"5","1895258699","FCN-UAQ","NO DISPONIBLE","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus malinche",21.291667,-98.806111,2001,"Mexico"
"6","2629260205","ENCB-IPN","P4954","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus malinche",20.014722,-98.337778,2000,"Mexico"
"7","2629261630","ENCB-IPN","P4958","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus malinche",21.171944,-98.595555,2000,"Mexico"
"8","1895258725","FCN-UAQ","BUAQ-P 168","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus malinche",21.103556,-98.474056,2000,"Mexico"
"9","1894766203","FCN-UAQ","UAQ-P-110","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus malinche",20.429729,-99.414467,2000,"Mexico"
"10","1895258735","FCN-UAQ","BUAQ-P 151","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus malinche",20.721028,-98.716972,2000,"Mexico"
"11","1889123182","UMMZ","223206","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus malinche",20.898596,-98.800054,1988,"Mexico"
