Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.83014E-8,0.00000983,0.000091803,1,0,0
1.04252E-7,0.000020255,0.000097361,0.999900289,0,0
1.06247E-7,0.00003088,0.000099224,0.999800578,0,0
1.13021E-7,0.000053462,0.000105549,0.999601157,0,0
1.24429E-7,0.000101165,0.000116203,0.999202313,0,0
1.57201E-7,0.000253157,0.000146806,0.998105494,0,0
2.18044E-7,0.000512214,0.000203619,0.996709542,0,0
2.77861E-7,0.001010832,0.000259472,0.994715326,0,0
3.98183E-7,0.002520733,0.00037181,0.990427759,0,0
4.8647E-7,0.005023796,0.00045423,0.984843953,0,0
6.04268E-7,0.010039605,0.000564191,0.975770266,0,0
7.93089E-7,0.025022582,0.000740424,0.954531858,0,0
9.74099E-7,0.050066696,0.000909337,0.92631369,0,0
1.25603E-6,0.100123493,0.001172366,0.881643235,0,0
1.71092E-6,0.200050829,0.001596618,0.814438129,0,0
2.09764E-6,0.300124634,0.001957154,0.761591385,0,0
2.51099E-6,0.400218073,0.002342365,0.718117459,0,0
2.97874E-6,0.500264929,0.002778104,0.681623292,0,0
3.36406E-6,0.60011919,0.0031369,0.650314089,0,0
3.73088E-6,0.700303707,0.003478357,0.622195633,0,0
3.92539E-6,0.750146984,0.003659371,0.609233224,0,0
4.15064E-6,0.800279826,0.003868948,0.59686908,0,0
4.59909E-6,0.900275715,0.004286064,0.574035298,0,0
5.00197E-6,1.000327218,0.004660648,0.553195732,0,0
5.36444E-6,1.100227263,0.004997535,0.533951541,0,0
5.66534E-6,1.20007353,0.005277113,0.515903879,0,0
6.03691E-6,1.300113714,0.005622252,0.498853325,0,0
6.44773E-6,1.400383056,0.006003701,0.48279988,0,0
6.8189E-6,1.500074373,0.006348211,0.467843255,0,0
7.81536E-6,1.750693669,0.007272511,0.433443015,0,0
8.89646E-6,2.000180773,0.008274339,0.403529764,0,0
9.8686E-6,2.250316456,0.009174338,0.377006681,0,0
1.07279E-5,2.50056779,0.009969189,0.352677236,0,0
1.18447E-5,2.751122253,0.011001275,0.33054143,0,0
1.30308E-5,3.001292228,0.012096264,0.31039984,0,0
1.4091E-5,3.250691439,0.01307395,0.292053046,0,0
1.51254E-5,3.501150398,0.014026933,0.274902782,0,0
1.6306E-5,3.750880205,0.015113453,0.259048759,0,0
1.77604E-5,4.000236332,0.016450315,0.244391265,0,0
1.94088E-5,4.250065941,0.0179634,0.230930302,0.034482759,0
2.13064E-5,4.501889616,0.019702208,0.218566158,0.034482759,0
2.28779E-5,4.752021785,0.021139952,0.207298833,0.034482759,0
2.44581E-5,5.002158353,0.022583467,0.196729484,0.034482759,0
2.68716E-5,5.251505079,0.024784195,0.187057533,0.034482759,0
2.90486E-5,5.502736871,0.026764978,0.178083558,0.068965517,0
3.12269E-5,5.753030301,0.02874289,0.169807558,0.068965517,0
3.37336E-5,6.003205533,0.031014028,0.162129824,0.068965517,0
3.67784E-5,6.25238413,0.033765598,0.155050354,0.068965517,0
3.93807E-5,6.503816115,0.03611108,0.148469439,0.068965517,0
4.21305E-5,6.75208647,0.038583304,0.142387077,0.068965517,0
4.52786E-5,7.001929246,0.041405892,0.13670356,0.068965517,0
4.91117E-5,7.251925621,0.044831426,0.131418885,0.068965517,0
5.3165E-5,7.502355861,0.048440355,0.126533054,0.068965517,0
5.74458E-5,7.752474067,0.052237164,0.122046066,0.068965517,0
6.43447E-5,8.002121871,0.058324112,0.117957922,0.068965517,0
6.83708E-5,8.254832114,0.061858286,0.11416891,0.068965517,0
7.39382E-5,8.503774561,0.066723643,0.110679031,0.068965517,0
8.18906E-5,8.75249685,0.073629411,0.107488284,0.068965517,0
8.80236E-5,9.0002949,0.078920373,0.10459667,0.068965517,0
9.34249E-5,9.254704707,0.083555066,0.101804766,0.068965517,0
9.94033E-5,9.505504914,0.088657774,0.099212284,0.068965517,0
1.06003E-4,9.752713138,0.094257588,0.096819224,0.068965517,0
1.12909E-4,10.006448411,0.100080903,0.094525875,0.068965517,0
1.19148E-4,10.261837569,0.105309355,0.092332237,0.068965517,0
1.25602E-4,10.506287579,0.110685778,0.09033802,0.068965517,0
1.31435E-4,10.750867507,0.115517432,0.088443514,0.068965517,0
1.40411E-4,11.011871208,0.122901072,0.086549008,0.068965517,0.142857143
1.49349E-4,11.258628322,0.130192585,0.084853924,0.068965517,0.142857143
1.56959E-4,11.505508067,0.136352358,0.08325855,0.068965517,0.142857143
1.66871E-4,11.765234306,0.144310494,0.081663177,0.068965517,0.142857143
1.73928E-4,12.005037651,0.149931682,0.080267225,0.068965517,0.142857143
1.84476E-4,12.255793773,0.158264469,0.078871273,0.068965517,0.142857143
1.89901E-4,12.518026568,0.162518428,0.077475322,0.068965517,0.142857143
1.98377E-4,12.750902612,0.16912203,0.076278792,0.068965517,0.142857143
2.10724E-4,13.016550517,0.178648072,0.074982551,0.068965517,0.142857143
2.14362E-4,13.250657259,0.181434327,0.073885731,0.068965517,0.142857143
2.2203E-4,13.512306185,0.18727534,0.072689201,0.068965517,0.142857143
2.28084E-4,13.75972612,0.19185772,0.071592382,0.068965517,0.142857143
2.41238E-4,14.018742872,0.201724935,0.070495563,0.068965517,0.142857143
2.51696E-4,14.264644237,0.209484119,0.069498454,0.068965517,0.142857143
2.60652E-4,14.52265445,0.216068174,0.068501346,0.068965517,0.142857143
2.72926E-4,14.76297149,0.225003736,0.067603949,0.068965517,0.142857143
2.84699E-4,15.014370033,0.233478307,0.066706551,0.068965517,0.142857143
2.91882E-4,15.273955324,0.238603318,0.065809153,0.068965517,0.142857143
3.02553E-4,15.512557141,0.246153497,0.065011467,0.068965517,0.142857143
3.11236E-4,15.759027482,0.252241904,0.06421378,0.068965517,0.142857143
3.26526E-4,16.012999927,0.262844058,0.063416093,0.068965517,0.142857143
3.40553E-4,16.280750714,0.272437803,0.062618407,0.068965517,0.142857143
3.47062E-4,16.521489726,0.276847621,0.061920431,0.068965517,0.142857143
3.53889E-4,16.766548046,0.281443962,0.061222455,0.068965517,0.142857143
3.58992E-4,17.015824105,0.284859888,0.060524479,0.068965517,0.142857143
3.63384E-4,17.268786693,0.287787416,0.059826503,0.068965517,0.142857143
3.75066E-4,17.527972641,0.295515968,0.059128527,0.068965517,0.142857143
3.82522E-4,17.755704772,0.30040445,0.058530262,0.068965517,0.142857143
3.88266E-4,18.026192795,0.304147029,0.057832286,0.068965517,0.142857143
3.95642E-4,18.261473229,0.308924603,0.057234021,0.068965517,0.142857143
4.02986E-4,18.500544261,0.313648272,0.056635756,0.068965517,0.142857143
4.10853E-4,18.785382395,0.31867226,0.05593778,0.068965517,0.142857143
4.19804E-4,19.035791877,0.324344781,0.055339515,0.103448276,0.142857143
4.23371E-4,19.288842286,0.326591341,0.05474125,0.103448276,0.142857143
4.4159E-4,19.50561627,0.337952835,0.054242696,0.103448276,0.142857143
4.52295E-4,19.77554498,0.34453879,0.053644431,0.103448276,0.142857143
4.58586E-4,20.003706217,0.348378857,0.053145877,0.103448276,0.285714286
4.67417E-4,20.282240114,0.353731207,0.052547612,0.103448276,0.285714286
4.79984E-4,20.520567816,0.361272057,0.052049058,0.103448276,0.285714286
4.85991E-4,20.762046908,0.364845553,0.051550504,0.103448276,0.285714286
4.98495E-4,21.008495663,0.372219531,0.051051949,0.103448276,0.285714286
4.99775E-4,21.25832786,0.372969751,0.050553395,0.103448276,0.285714286
5.04943E-4,21.510001095,0.375988911,0.050054841,0.103448276,0.285714286
5.09483E-4,21.763950805,0.378629136,0.049556287,0.103448276,0.285714286
5.13156E-4,22.019750829,0.38075705,0.049057733,0.137931034,0.285714286
5.18886E-4,22.278262066,0.384061965,0.048559178,0.137931034,0.285714286
5.25221E-4,22.539993613,0.387695382,0.048060624,0.137931034,0.285714286
5.27111E-4,22.750493498,0.388775154,0.047661781,0.137931034,0.285714286
5.352E-4,23.016610868,0.393375016,0.047163227,0.137931034,0.285714286
5.4438E-4,23.286431483,0.398554146,0.046664672,0.137931034,0.285714286
5.48335E-4,23.505463203,0.400771748,0.046265829,0.137931034,0.285714286
5.56596E-4,23.782272599,0.40537684,0.045767275,0.137931034,0.285714286
5.68152E-4,24.008340473,0.411760053,0.045368432,0.137931034,0.285714286
5.73223E-4,24.293221466,0.414539176,0.044869877,0.137931034,0.285714286
5.79591E-4,24.523681987,0.418010837,0.044471034,0.137931034,0.285714286
5.83208E-4,24.756463182,0.419973428,0.044072191,0.137931034,0.285714286
5.87986E-4,25.049815291,0.422556205,0.043573636,0.137931034,0.285714286
5.99873E-4,25.288052373,0.428931489,0.043174793,0.137931034,0.285714286
6.05076E-4,25.529402523,0.431699375,0.04277595,0.137931034,0.285714286
6.14535E-4,25.773631607,0.436698017,0.042377106,0.137931034,0.285714286
6.21724E-4,26.021585598,0.440467082,0.041978263,0.137931034,0.285714286
6.29677E-4,26.272811922,0.444607727,0.04157942,0.137931034,0.285714286
6.31826E-4,26.525285209,0.44572132,0.041180576,0.137931034,0.285714286
6.40148E-4,26.780489133,0.450012643,0.040781733,0.137931034,0.285714286
6.45751E-4,27.038383106,0.452883144,0.04038289,0.137931034,0.285714286
6.57403E-4,27.299872373,0.458804792,0.039984046,0.137931034,0.285714286
6.64252E-4,27.564390163,0.462255591,0.039585203,0.137931034,0.285714286
6.67667E-4,27.764457905,0.463968001,0.03928607,0.137931034,0.285714286
6.82112E-4,28.034997349,0.471150946,0.038887227,0.137931034,0.285714286
6.91424E-4,28.310312807,0.475730316,0.038488384,0.137931034,0.285714286
6.9394E-4,28.518127886,0.476960638,0.038189251,0.137931034,0.285714286
6.96812E-4,28.796683122,0.4783619,0.037790408,0.137931034,0.285714286
7.00556E-4,29.006384188,0.480182585,0.037491275,0.137931034,0.285714286
7.10287E-4,29.288885302,0.484885428,0.037092432,0.137931034,0.285714286
7.13609E-4,29.502574328,0.486481122,0.036793299,0.137931034,0.285714286
7.24117E-4,29.789649308,0.491495842,0.036394456,0.137931034,0.285714286
7.25976E-4,30.007227857,0.492378291,0.036095324,0.137931034,0.285714286
7.33243E-4,30.299324022,0.495811838,0.03569648,0.172413793,0.285714286
7.35447E-4,30.519563834,0.496848485,0.035397348,0.172413793,0.285714286
7.40726E-4,30.815144264,0.499322814,0.034998504,0.172413793,0.285714286
7.45469E-4,31.038289398,0.5015361,0.034699372,0.206896552,0.285714286
7.51621E-4,31.26318879,0.50439174,0.034400239,0.206896552,0.285714286
7.65041E-4,31.566142346,0.51056438,0.034001396,0.206896552,0.428571429
7.78819E-4,31.799211782,0.51682227,0.033702263,0.206896552,0.428571429
7.85064E-4,32.034490402,0.519632063,0.033403131,0.206896552,0.428571429
7.93382E-4,32.27207122,0.523349374,0.033103998,0.206896552,0.428571429
7.96562E-4,32.510596736,0.524763133,0.032804866,0.206896552,0.428571429
7.99902E-4,32.750135152,0.526242851,0.032505733,0.206896552,0.428571429
8.10536E-4,33.072344437,0.530924911,0.03210689,0.206896552,0.428571429
8.13539E-4,33.316023838,0.532238677,0.031807758,0.206896552,0.428571429
8.25463E-4,33.563250338,0.53741883,0.031508625,0.206896552,0.428571429
8.33665E-4,33.812588032,0.540948604,0.031209492,0.206896552,0.428571429
8.3492E-4,34.062870821,0.541486466,0.03091036,0.206896552,0.428571429
8.48659E-4,34.316092104,0.547332238,0.030611227,0.206896552,0.428571429
8.54042E-4,34.571933473,0.549602371,0.030312095,0.24137931,0.428571429
8.55874E-4,34.828489262,0.550372217,0.030012962,0.24137931,0.428571429
8.58501E-4,35.000187057,0.551474072,0.029813541,0.24137931,0.428571429
8.63897E-4,35.25863639,0.553728929,0.029514408,0.24137931,0.428571429
8.6902E-4,35.518835815,0.555859012,0.029215276,0.24137931,0.428571429
8.72612E-4,35.780093153,0.557346244,0.028916143,0.24137931,0.428571429
8.79481E-4,36.043463143,0.560177213,0.028617011,0.24137931,0.428571429
8.8753E-4,36.308443496,0.563470747,0.028317878,0.24137931,0.428571429
8.90872E-4,36.575311446,0.564831083,0.028018746,0.24137931,0.428571429
8.96565E-4,36.754292366,0.567138735,0.027819324,0.24137931,0.428571429
9.01752E-4,37.024537384,0.569230567,0.027520191,0.24137931,0.428571429
9.06903E-4,37.296173819,0.57129815,0.027221059,0.24137931,0.428571429
9.15152E-4,37.56975542,0.574588202,0.026921926,0.24137931,0.428571429
9.25972E-4,37.753923617,0.578865247,0.026722505,0.24137931,0.428571429
9.43653E-4,38.03453354,0.58576248,0.026423372,0.24137931,0.428571429
9.49394E-4,38.318733367,0.587977453,0.02612424,0.24137931,0.428571429
9.58054E-4,38.509704082,0.591296422,0.025924818,0.24137931,0.428571429
9.7545E-4,38.799582976,0.597882864,0.025625686,0.275862069,0.428571429
9.78742E-4,39.092957959,0.599117279,0.025326553,0.275862069,0.428571429
9.84016E-4,39.289327567,0.601087242,0.025127131,0.275862069,0.428571429
9.90458E-4,39.585948643,0.603479985,0.024827999,0.275862069,0.428571429
9.93315E-4,39.784368887,0.604536671,0.024628577,0.275862069,0.428571429
9.99157E-4,40.083997401,0.606688615,0.024329445,0.275862069,0.428571429
1.00225E-3,40.284343979,0.607822758,0.024130023,0.275862069,0.428571429
1.01688E-3,40.587922532,0.613146674,0.02383089,0.275862069,0.428571429
1.02633E-3,40.793126406,0.616545157,0.023631469,0.275862069,0.428571429
1.03916E-3,41.000263701,0.621110094,0.023432047,0.275862069,0.428571429
1.05432E-3,41.31511459,0.626437799,0.023132915,0.275862069,0.428571429
1.05968E-3,41.526575135,0.628304275,0.022933493,0.275862069,0.428571429
1.07422E-3,41.847311563,0.63331538,0.02263436,0.275862069,0.428571429
1.07814E-3,42.062737529,0.63465588,0.022434939,0.275862069,0.428571429
1.08219E-3,42.279120599,0.636035112,0.022235517,0.275862069,0.428571429
1.0994E-3,42.607368648,0.641840751,0.021936384,0.275862069,0.428571429
1.10196E-3,42.827544654,0.642694228,0.021736963,0.275862069,0.428571429
1.11707E-3,43.04971738,0.647700043,0.021537541,0.275862069,0.428571429
1.11884E-3,43.273360078,0.648284145,0.021338119,0.275862069,0.428571429
1.13121E-3,43.611894317,0.652324751,0.021038987,0.275862069,0.428571429
1.14473E-3,43.840155115,0.656686696,0.020839565,0.275862069,0.428571429
1.15063E-3,44.070060857,0.658573361,0.020640144,0.275862069,0.428571429
1.16392E-3,44.302408834,0.662783656,0.020440722,0.275862069,0.428571429
1.16625E-3,44.535511191,0.663516254,0.0202413,0.310344828,0.428571429
1.17699E-3,44.77040011,0.666875109,0.020041879,0.344827586,0.428571429
1.18007E-3,45.006255058,0.667830727,0.019842457,0.344827586,0.428571429
1.18089E-3,45.257637835,0.668086432,0.019543324,0.344827586,0.428571429
1.19467E-3,45.599608876,0.67233037,0.019343903,0.344827586,0.571428571
1.20482E-3,45.840111514,0.675421305,0.019144481,0.344827586,0.571428571
1.21332E-3,46.082096704,0.677987569,0.018945059,0.344827586,0.571428571
1.2194E-3,46.3256719,0.679811148,0.018745638,0.344827586,0.571428571
1.22892E-3,46.570774052,0.682644994,0.018546216,0.344827586,0.571428571
1.23682E-3,46.817451693,0.684979424,0.018346794,0.344827586,0.571428571
1.25126E-3,47.067506887,0.689199995,0.018147373,0.344827586,0.571428571
1.25623E-3,47.318305077,0.690637675,0.017947951,0.344827586,0.571428571
1.25907E-3,47.570066238,0.691459164,0.017748529,0.344827586,0.571428571
1.29049E-3,47.826947567,0.700380204,0.017549108,0.344827586,0.571428571
1.30778E-3,48.088237854,0.705178234,0.017349686,0.344827586,0.571428571
1.31706E-3,48.351609426,0.70772373,0.017150264,0.344827586,0.571428571
1.31876E-3,48.615194591,0.708186571,0.016950843,0.344827586,0.571428571
1.32895E-3,48.880698294,0.710951511,0.016751421,0.344827586,0.571428571
1.34166E-3,49.014864644,0.714363108,0.01665171,0.344827586,0.571428571
1.35413E-3,49.285447923,0.717670707,0.016452288,0.344827586,0.571428571
1.38185E-3,49.561619352,0.724885646,0.016252867,0.344827586,0.571428571
1.38593E-3,49.838428742,0.725930314,0.016053445,0.344827586,0.571428571
1.39704E-3,50.117830119,0.72875937,0.015854023,0.344827586,0.571428571
1.4201E-3,50.259839751,0.734538502,0.015754312,0.344827586,0.571428571
1.43167E-3,50.545839586,0.737392512,0.015554891,0.344827586,0.571428571
1.4376E-3,50.83306644,0.738843919,0.015355469,0.344827586,0.571428571
1.45167E-3,51.123052391,0.742251958,0.015156047,0.344827586,0.571428571
1.4537E-3,51.268422014,0.742739422,0.015056337,0.344827586,0.571428571
1.46671E-3,51.561536639,0.745847618,0.014856915,0.344827586,0.714285714
1.47971E-3,51.856488007,0.74891526,0.014657493,0.344827586,0.714285714
1.4863E-3,52.005117563,0.750453901,0.014557782,0.344827586,0.714285714
1.49955E-3,52.303987686,0.753523441,0.014358361,0.344827586,0.714285714
1.50316E-3,52.604505929,0.754353264,0.014158939,0.344827586,0.714285714
1.50328E-3,52.754833784,0.754380755,0.014059228,0.344827586,0.714285714
1.50605E-3,53.056042237,0.755016604,0.013859807,0.344827586,0.714285714
1.53545E-3,53.360757339,0.761650448,0.013660385,0.344827586,0.714285714
1.54408E-3,53.515165055,0.763563641,0.013560674,0.344827586,0.714285714
1.5602E-3,53.826035067,0.767096245,0.013361252,0.344827586,0.714285714
1.61301E-3,54.147032375,0.778305609,0.013161831,0.379310345,0.714285714
1.62732E-3,54.30976481,0.781249641,0.01306212,0.379310345,0.714285714
1.63308E-3,54.636365763,0.782423378,0.012862698,0.413793103,0.714285714
1.63316E-3,54.799681906,0.782438912,0.012762987,0.413793103,0.714285714
1.67103E-3,55.132500697,0.789998412,0.012563566,0.413793103,0.714285714
1.69069E-3,55.301569802,0.793819822,0.012463855,0.413793103,0.714285714
1.72689E-3,55.645222984,0.800674643,0.012264433,0.413793103,0.714285714
1.74154E-3,55.819377366,0.803383138,0.012164722,0.413793103,0.714285714
1.74499E-3,56.168308679,0.804015819,0.011965301,0.413793103,0.714285714
1.75884E-3,56.344193096,0.806534447,0.01186559,0.413793103,0.714285714
1.76309E-3,56.520502086,0.807300069,0.011765879,0.448275862,0.714285714
1.77754E-3,56.875663639,0.809883514,0.011566457,0.448275862,0.714285714
1.80417E-3,57.056080255,0.814552572,0.011466746,0.448275862,0.714285714
1.81136E-3,57.417855851,0.815794249,0.011267325,0.448275862,0.714285714
1.81202E-3,57.599058201,0.815908458,0.011167614,0.448275862,0.714285714
1.81295E-3,57.780353267,0.816067796,0.011067903,0.448275862,0.714285714
1.85535E-3,58.150911668,0.823208906,0.010868481,0.448275862,0.714285714
1.85769E-3,58.336680563,0.823594674,0.010768771,0.448275862,0.714285714
1.85939E-3,58.52261988,0.823875225,0.01066906,0.448275862,0.714285714
1.88136E-3,58.898820759,0.827452175,0.010469638,0.448275862,0.714285714
1.89508E-3,59.088328927,0.829648875,0.010369927,0.448275862,0.714285714
1.92632E-3,59.280960759,0.834546765,0.010270216,0.448275862,0.714285714
1.97942E-3,59.672484922,0.842552659,0.010070795,0.448275862,0.714285714
2.00954E-3,59.873439293,0.846919945,0.009971084,0.448275862,0.714285714
2.0625E-3,60.079688807,0.854306145,0.009871373,0.448275862,0.714285714
2.09198E-3,60.288886908,0.858263529,0.009771662,0.448275862,0.714285714
2.11361E-3,60.709536037,0.861097924,0.009572241,0.448275862,0.714285714
2.1571E-3,60.925246166,0.866626826,0.00947253,0.448275862,0.714285714
2.15734E-3,61.140979891,0.866656214,0.009372819,0.448275862,0.714285714
2.18511E-3,61.359491299,0.870070923,0.009273108,0.448275862,0.714285714
2.21224E-3,61.580715297,0.873321198,0.009173397,0.448275862,0.714285714
2.21719E-3,61.802433996,0.87390513,0.009073686,0.448275862,0.714285714
2.22464E-3,62.024898353,0.874780205,0.008973975,0.448275862,0.714285714
2.36222E-3,62.261119877,0.889878226,0.008874265,0.448275862,0.714285714
2.52696E-3,62.513815497,0.905582301,0.008774554,0.448275862,0.714285714
2.58218E-3,62.772033978,0.91032892,0.008674843,0.448275862,0.714285714
2.59605E-3,63.031638751,0.911482421,0.008575132,0.448275862,0.714285714
2.60354E-3,63.291992496,0.912099437,0.008475421,0.448275862,0.714285714
2.67641E-3,63.559633926,0.917883122,0.00837571,0.448275862,0.714285714
2.74348E-3,63.833981688,0.922868603,0.008276,0.448275862,0.714285714
2.79638E-3,64.113620081,0.926587143,0.008176289,0.448275862,0.714285714
2.85406E-3,64.399026362,0.930437166,0.008076578,0.448275862,0.714285714
2.89038E-3,64.688064413,0.932757071,0.007976867,0.448275862,0.714285714
2.93342E-3,64.981406007,0.935406142,0.007877156,0.448275862,0.714285714
3.05328E-3,65.286734178,0.9422472,0.007777445,0.448275862,0.714285714
3.16665E-3,65.603399116,0.948049405,0.007677735,0.448275862,0.714285714
3.18603E-3,65.922002562,0.948981482,0.007578024,0.448275862,0.714285714
3.2375E-3,66.245753031,0.951375937,0.007478313,0.448275862,0.714285714
3.24254E-3,66.570006633,0.951603883,0.007378602,0.448275862,0.714285714
3.26999E-3,66.897005953,0.952829146,0.007278891,0.448275862,0.714285714
3.38514E-3,67.562519578,0.957638789,0.00707947,0.482758621,0.714285714
3.38616E-3,67.901135747,0.957679071,0.006979759,0.482758621,0.714285714
3.40419E-3,68.241554587,0.958385616,0.006880048,0.482758621,0.714285714
