X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-98.593002,21.089001,train,0.004497705962262182,85.36870736997261,0.9850132642369025
-98.596378,21.172069,train,0.003714820859155835,73.60227219566866,0.968864967522972
-98.511083,21.049356,train,0.008304172337757737,97.44459774423174,0.9995716641005473
-98.610036,20.892717,train,0.0011639184556443412,44.302381834157025,0.6627836557262268
-98.650833,20.752778,train,7.281292126311922E-4,30.093775972040703,0.49339788184822775
-98.341556,21.01525,train,0.0038246011463277368,75.1077387549153,0.9718989940332826
-98.540222,21.01525,train,9.580536820921107E-4,38.50969707148072,0.5912964220937468
-98.945038,21.898899,train,1.8770815928638233E-5,4.1533738085706515,0.01737805431816053
-100.640282,21.781389,train,2.7209055607195057E-5,5.290448384887029,0.025091480924909426
-98.620555,20.908333,train,0.0016273243444357229,54.31001114625821,0.7812496405544029
-98.358055,21.004444,train,0.003838809202861744,75.87492262944058,0.9722694166604038
-98.564083,21.127917,train,0.005990142755445477,92.05139109355666,0.996281507427116
-98.520278,21.151944,train,0.005260942260200775,90.30234591504698,0.9926525872948672
-98.598889,21.16,train,0.003931903335893567,78.20530284180504,0.9745785955321572
-98.615278,21.167222,train,0.004620075807281015,85.83104177340161,0.9866317916982088
-98.870528,21.392694,train,0.0011662471384698888,44.53522491228174,0.6635162541623462
-98.568333,21.162778,train,0.004222409829092139,82.30127233261132,0.9806193385685865
-98.666667,20.753333,train,4.1785678267726445E-4,18.981317328778836,0.3231146511596542
-98.642778,20.724444,train,0.001560195730517059,53.8259527311307,0.7670962449886523
-98.2975,21.187778,train,8.512234674230057E-4,34.43797522795647,0.5484151840586025
-98.401944,21.083056,train,0.005640468375852797,90.86638698023799,0.9948453798529296
-98.402778,21.067222,train,0.006292796837412472,94.49636108006322,0.9971970919726453
-98.339722,21.036389,train,0.003509730115757315,68.93534229528747,0.9622918525931152
-98.388333,21.081944,train,0.003269993204942451,66.8970244760818,0.9528291464249385
-98.582778,20.873889,train,0.0017588441705414714,56.34436610869519,0.8065344469185757
-98.514444,21.090833,train,0.00449241378463399,84.91960059903504,0.9849390077531031
-98.743333,21.257778,train,7.407256941343082E-4,30.815127138045707,0.4993228138192174
-98.482232,21.075488,train,0.008677503231068048,100.0,0.9996977547243627
-98.715,20.73389,train,5.095879106363398E-4,21.771257133149625,0.3786897892991763
-98.742986,21.210311,test,4.5495303110761786E-4,19.871946134903602,0.34616422065478536
-98.498269,21.057289,test,0.011221854252932161,100.0,0.9999719225603264
-98.129826,20.905816,test,1.3931188690314016E-4,10.97991124965575,0.12200028785106631
-98.416167,21.073944,test,0.006173403368567751,94.09743987216437,0.9968664584349883
-98.444722,20.908333,test,0.0011808896626551474,45.257534417090426,0.6680864319020605
-98.588055,20.913056,test,0.001459168949764148,51.39163716843982,0.7440509754871684
-98.592833,20.8925,test,7.561676945865128E-4,31.365829422863637,0.5064917160569319
