Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.27239E-7,0.000012724,0.000196706,1,0,0
1.39537E-7,0.000026678,0.000215716,0.999900249,0,0
1.46706E-7,0.000055799,0.000226798,0.999700748,0,0
1.50553E-7,0.000100474,0.000232744,0.999401496,0,0
1.72229E-7,0.00026277,0.00026625,0.99840399,0,0
1.94506E-7,0.000504546,0.000300682,0.997107232,0,0
2.32077E-7,0.001004708,0.000358752,0.994812968,0,0
4.49276E-7,0.002523534,0.000694389,0.990124688,0,0
7.4789E-7,0.005020364,0.001155651,0.985835411,0,0
1.12371E-6,0.010004406,0.001735867,0.980648379,0,0
1.89747E-6,0.025038959,0.002929391,0.970773067,0,0
2.52683E-6,0.050156498,0.003899137,0.959800499,0,0
2.98317E-6,0.100273155,0.004601693,0.941745636,0,0
3.49278E-6,0.200279982,0.005385665,0.911221945,0,0
3.87241E-6,0.300062377,0.005969276,0.884189526,0,0
4.20793E-6,0.400193313,0.006484793,0.859451372,0,0
4.50137E-6,0.500044603,0.006935443,0.836608479,0,0
4.75459E-6,0.600031215,0.00732416,0.815062344,0,0
5.05716E-6,0.700232435,0.007788426,0.794713217,0,0
5.19582E-6,0.750513376,0.008001117,0.784937656,0,0
5.36504E-6,0.800133161,0.008260623,0.775561097,0,0
5.64961E-6,0.900508227,0.008696878,0.757406484,0,0
5.94274E-6,1.000380642,0.009146044,0.740249377,0,0
6.21369E-6,1.100156658,0.009561037,0.723890274,0,0
6.49545E-6,1.200546258,0.009992421,0.708129676,0,0
6.75679E-6,1.300005612,0.010392355,0.693167082,0,0
6.98504E-6,1.400418199,0.01074152,0.678603491,0,0
7.2163E-6,1.50060185,0.011095176,0.664538653,0,0
7.73724E-6,1.750597843,0.011891344,0.631122195,0,0
8.24944E-6,2.000179553,0.012673546,0.599900249,0.04,0
8.87887E-6,2.250599986,0.013633906,0.570673317,0.04,0
9.49137E-6,2.500294891,0.01456755,0.543541147,0.04,0
1.02011E-5,2.750990073,0.015648352,0.518204489,0.04,0
1.08077E-5,3.001019185,0.016571086,0.49446384,0.04,0
1.14414E-5,3.25106204,0.017534076,0.47201995,0.04,0
1.20483E-5,3.500067426,0.018455628,0.450872818,0.04,0
1.26611E-5,3.750627931,0.019385095,0.430623441,0.04,0
1.33509E-5,4.000220607,0.020430298,0.411471322,0.04,0
1.41867E-5,4.250607697,0.021695401,0.393316708,0.04,0
1.50664E-5,4.500412142,0.023025051,0.376259352,0.04,0
1.59967E-5,4.750489618,0.024429343,0.360199501,0.04,0
1.67993E-5,5.000907162,0.025639136,0.344937656,0.04,0
1.77972E-5,5.25001467,0.027141351,0.330573566,0.04,0
1.87049E-5,5.501562611,0.028505665,0.31680798,0.04,0
1.95556E-5,5.750843763,0.029782618,0.303840399,0.04,0
2.05061E-5,6.001312581,0.031207412,0.291371571,0.04,0
2.15685E-5,6.251739167,0.03279732,0.279501247,0.04,0
2.26672E-5,6.501314999,0.034438905,0.268229426,0.04,0
2.4137E-5,6.750070989,0.036630637,0.25765586,0.04,0
2.56377E-5,7.001427515,0.03886335,0.247581047,0.04,0
2.75416E-5,7.251505486,0.041688421,0.238204489,0.04,0
2.92231E-5,7.500778149,0.044176594,0.229426434,0.04,0
3.13797E-5,7.753004332,0.047358389,0.221147132,0.04,0
3.33329E-5,8.002452486,0.050230795,0.213466334,0.04,0
3.51111E-5,8.25263135,0.052838448,0.206184539,0.04,0
3.73945E-5,8.50300549,0.056176377,0.199301746,0.04,0
3.96726E-5,8.753964553,0.059494839,0.192817955,0.04,0
4.2087E-5,9.003588116,0.062999084,0.186733167,0.04,0
4.41965E-5,9.253527965,0.066050182,0.180947631,0.04,0
4.58894E-5,9.501780836,0.0684915,0.175461347,0.04,0
4.84506E-5,9.751972021,0.072172954,0.170174564,0.04,0
5.18646E-5,10.001560029,0.077057467,0.165187032,0.04,0
5.50517E-5,10.252961897,0.081594228,0.160498753,0.04,0
5.78643E-5,10.500692619,0.085579314,0.156109726,0.04,0
6.15079E-5,10.75240418,0.090716165,0.1519202,0.04,0
6.41815E-5,11.003643759,0.094467064,0.147930175,0.04,0
6.82574E-5,11.255560836,0.100155552,0.144139651,0.04,0
7.09161E-5,11.506098432,0.103846886,0.140548628,0.04,0
7.38974E-5,11.753136272,0.107968187,0.137157107,0.08,0
7.7538E-5,12.001772922,0.112975031,0.133865337,0.08,0
8.11186E-5,12.256229059,0.117872021,0.130673317,0.08,0
8.4111E-5,12.504527922,0.121943939,0.127680798,0.08,0
8.73431E-5,12.753778861,0.126320764,0.12478803,0.08,0
9.13324E-5,13.004172746,0.13169288,0.121995012,0.08,0
9.40565E-5,13.25482667,0.135342345,0.119301746,0.12,0
9.75676E-5,13.503103037,0.140023438,0.116708229,0.12,0
1.01272E-4,13.752145582,0.144935208,0.114214464,0.12,0
1.06097E-4,14.000545918,0.151289618,0.111820449,0.12,0
1.09077E-4,14.259212042,0.155190706,0.109426434,0.12,0
1.12368E-4,14.503143411,0.159479367,0.10723192,0.12,0
1.16268E-4,14.753843211,0.164531637,0.105037406,0.12,0
1.20597E-4,15.002771785,0.170104599,0.102942643,0.12,0
1.25168E-4,15.260286884,0.175949587,0.10084788,0.12,0
1.30403E-4,15.503902637,0.182591942,0.098952618,0.12,0
1.39142E-4,15.758932385,0.193562858,0.097057357,0.12,0
1.45218E-4,16.000195388,0.201102266,0.095361596,0.12,0
1.51667E-4,16.253150483,0.209029331,0.093665835,0.12,0
1.59339E-4,16.502984021,0.218355576,0.092069825,0.12,0
1.66648E-4,16.763802521,0.227138656,0.090473815,0.12,0
1.7035E-4,17.000255337,0.231550402,0.089077307,0.12,0
1.78606E-4,17.259853539,0.241296893,0.087581047,0.12,0
1.84642E-4,17.512647122,0.248344585,0.086184539,0.12,0
1.93827E-4,17.757955133,0.258943012,0.084887781,0.12,0
2.00638E-4,18.01282649,0.266705182,0.083591022,0.12,0
2.06557E-4,18.256070041,0.273385514,0.082394015,0.12,0
2.15814E-4,18.508337064,0.283711531,0.081197007,0.12,0
2.29033E-4,18.751470424,0.298202753,0.080099751,0.12,0
2.38778E-4,19.00992645,0.308697078,0.079002494,0.12,0
2.4662E-4,19.252093118,0.317027521,0.078004988,0.12,0
2.52335E-4,19.502199401,0.323036118,0.077007481,0.12,0
2.60498E-4,19.759550807,0.331525989,0.076009975,0.12,0
2.68313E-4,20.023904172,0.339554833,0.075012469,0.12,0
2.8498E-4,20.272478623,0.356356101,0.074114713,0.12,0
3.0063E-4,20.508330026,0.371743774,0.073316708,0.12,0
3.14303E-4,20.756058425,0.384885838,0.072518703,0.12,0
3.30951E-4,21.017129616,0.400515839,0.071720698,0.12,0
3.37336E-4,21.251342231,0.40640483,0.071022444,0.12,0
3.46526E-4,21.52481382,0.414779436,0.070224439,0.12,0
3.60533E-4,21.773158196,0.427317524,0.069526185,0.12,0
3.74369E-4,22.032437077,0.439438003,0.06882793,0.12,0
3.81966E-4,22.259381773,0.445983586,0.068229426,0.12,0
3.9017E-4,22.53047493,0.452966298,0.067531172,0.12,0
4.00045E-4,22.768097288,0.461254807,0.066932668,0.12,0
4.06018E-4,23.009969827,0.46620756,0.066334165,0.12,0
4.09068E-4,23.254508756,0.468719059,0.065735661,0.12,0
4.15221E-4,23.502244815,0.473749081,0.065137157,0.12,0
4.23746E-4,23.754543014,0.480639883,0.064538653,0.16,0
4.30827E-4,24.01117652,0.486294759,0.06394015,0.16,0
4.41271E-4,24.274155281,0.494523438,0.063341646,0.16,0.166666667
4.47434E-4,24.541023411,0.499316976,0.062743142,0.16,0.166666667
4.50058E-4,24.765619159,0.501344021,0.062244389,0.16,0.166666667
4.56792E-4,25.038190131,0.506508751,0.061645885,0.16,0.166666667
4.6142E-4,25.268042477,0.51002698,0.061147132,0.16,0.166666667
4.74024E-4,25.502872046,0.519482709,0.060648379,0.16,0.166666667
4.78327E-4,25.789043388,0.522669476,0.060049875,0.16,0.166666667
