Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.50448E-8,0.000002504,0.000042313,1,0,0
4.10191E-8,0.000013256,0.000069301,0.999700449,0,0
4.45178E-8,0.000026177,0.000075212,0.999400899,0,0
4.89884E-8,0.0000542,0.000082765,0.998801797,0,0
6.65411E-8,0.00010608,0.000112418,0.997903145,0,0
1.10296E-7,0.000252,0.000186332,0.996205691,0,0
1.61395E-7,0.00050879,0.000272646,0.994208687,0,0
2.24641E-7,0.001018916,0.000379467,0.991612581,0,0
3.60162E-7,0.002510296,0.000608324,0.98662007,0,0
5.87332E-7,0.005014672,0.00099183,0.981328008,0,0
8.51E-7,0.010063303,0.001436767,0.974438342,0,0
1.36636E-6,0.02513623,0.002305855,0.961258113,0,0
1.90973E-6,0.050140569,0.003221376,0.946080879,0,0
2.73806E-6,0.100218722,0.004615386,0.92461308,0,0
4.09391E-6,0.200059264,0.006892966,0.895157264,0,0
4.94208E-6,0.300006554,0.008315087,0.873090364,0,0
5.51079E-6,0.400467108,0.00926749,0.853919121,0,0
5.98963E-6,0.500442763,0.010068701,0.836545182,0,0
6.58953E-6,0.600478886,0.011071535,0.820668997,0,0
7.07375E-6,0.700077807,0.011880265,0.806090864,0,0
7.34498E-6,0.750517056,0.012332974,0.799101348,0,0
7.55901E-6,0.80047431,0.012690054,0.792411383,0,0
7.85035E-6,0.900121366,0.013175927,0.779530704,0,0
7.97803E-6,1.000463512,0.013388782,0.766849725,0,0
8.55662E-6,1.10015901,0.014352767,0.754767848,0,0
9.35644E-6,1.200547867,0.015683794,0.743584623,0,0
1.02753E-5,1.300696395,0.017210751,0.7333999,0,0
1.10018E-5,1.400998278,0.018416261,0.724013979,0,0
1.13167E-5,1.500798149,0.018938418,0.715127309,0,0
1.18385E-5,1.751067686,0.019802857,0.69335996,0,0
1.32871E-5,2.000278146,0.02219908,0.673889166,0,0
1.53157E-5,2.250005634,0.025544623,0.656315527,0,0
1.65331E-5,2.501478288,0.027546858,0.640738892,0,0
1.77963E-5,2.750827244,0.029620043,0.626260609,0,0
1.94275E-5,3.000017051,0.03229073,0.612680979,0,0
2.1857E-5,3.250798421,0.036254721,0.600599101,0,0
2.25937E-5,3.500033559,0.037453654,0.589415876,0,0
2.36817E-5,3.750747152,0.039221349,0.578632052,0,0
2.42955E-5,4.000238947,0.040217234,0.568247629,0,0
2.5049E-5,4.251835327,0.041438251,0.558062906,0,0
2.56595E-5,4.500220741,0.042426428,0.548277584,0,0
2.67208E-5,4.751801196,0.044142005,0.538691962,0,0
2.7856E-5,5.000338896,0.04597355,0.529605592,0,0
2.84144E-5,5.25133767,0.046873257,0.520718922,0,0
2.86256E-5,5.502374708,0.047213225,0.511932102,0,0
2.87362E-5,5.751978945,0.047391317,0.503245132,0,0
2.88582E-5,6.002420869,0.047587561,0.494558163,0,0
2.90031E-5,6.251234451,0.047820651,0.485971043,0,0
2.91726E-5,6.501439477,0.048093323,0.477383924,0,0
2.93864E-5,6.750139422,0.048437125,0.468896655,0,0
2.96773E-5,7.001086576,0.048904644,0.460409386,0,0
2.98942E-5,7.251371755,0.049253195,0.452021967,0,0
3.01373E-5,7.500528363,0.049643589,0.443734398,0,0
3.04636E-5,7.752077178,0.05016739,0.43544683,0,0
3.08101E-5,8.000330642,0.05072334,0.427358962,0,0
3.11473E-5,8.251214263,0.051263976,0.419271093,0,0
3.15031E-5,8.501794814,0.051834167,0.411283075,0,0
3.18031E-5,8.75191036,0.052314527,0.403394908,0,0
3.20589E-5,9.00092562,0.052724065,0.39560659,0,0
3.23424E-5,9.252123331,0.053177623,0.387818273,0,0
3.2639E-5,9.502125464,0.053651997,0.380129805,0,0
3.29537E-5,9.751496457,0.054154993,0.372541188,0,0
3.32307E-5,10.003090626,0.054597608,0.364952571,0,0
3.34949E-5,10.250002938,0.055019569,0.357563655,0,0
3.37677E-5,10.502311968,0.055454981,0.350074888,0,0
3.40312E-5,10.753197052,0.055875441,0.342685971,0,0
3.42596E-5,11.002539323,0.056239663,0.335396905,0,0
3.44361E-5,11.253293117,0.056521122,0.328107838,0,0
3.46064E-5,11.501800695,0.056792536,0.320918622,0,0
3.48489E-5,11.751826582,0.057178864,0.313729406,0,0
3.50582E-5,12.003361119,0.057512182,0.30654019,0,0
3.52829E-5,12.253062696,0.057869933,0.299450824,0,0
3.55307E-5,12.500930995,0.058264339,0.292461308,0,0
3.57439E-5,12.750459063,0.058603444,0.285471792,0,0
3.59265E-5,13.001346885,0.058893781,0.278482277,0,0
3.60906E-5,13.253413694,0.059154781,0.271492761,0,0
3.62901E-5,13.50307101,0.059471742,0.264603095,0,0
3.65452E-5,13.750748076,0.059877089,0.25781328,0,0
3.67437E-5,14.003631068,0.06019229,0.250923615,0,0
3.69739E-5,14.250601117,0.060557682,0.24423365,0,0
3.72246E-5,14.502961542,0.060955574,0.237443834,0,0
3.73891E-5,14.752905471,0.061216517,0.230753869,0,0
3.75729E-5,15.000232514,0.061508054,0.224163754,0,0
3.77758E-5,15.252597167,0.061829644,0.217473789,0,0
3.7998E-5,15.502670097,0.062181811,0.210883674,0.066666667,0
3.81869E-5,15.750313829,0.062481032,0.20439341,0.066666667,0
3.84652E-5,16.003162114,0.062921877,0.197803295,0.133333333,0
3.87501E-5,16.250191332,0.063372728,0.191412881,0.133333333,0
3.93758E-5,16.500060086,0.064362369,0.185022466,0.133333333,0
4.00809E-5,16.750269314,0.065476294,0.178731902,0.133333333,0
4.09905E-5,17.001336039,0.06691145,0.172541188,0.133333333,0
4.17574E-5,17.253782202,0.068119723,0.166450325,0.133333333,0
4.26169E-5,17.502805303,0.06947197,0.160559161,0.133333333,0
4.37269E-5,17.75330002,0.071215423,0.154767848,0.133333333,0
4.49256E-5,18.001522605,0.07309443,0.149176236,0.133333333,0
4.6312E-5,18.252380199,0.075263133,0.143684473,0.133333333,0
4.81123E-5,18.502148441,0.078071663,0.138392411,0.133333333,0
5.02769E-5,18.752735229,0.081437176,0.13330005,0.133333333,0
5.21641E-5,19.003506939,0.084361283,0.128407389,0.133333333,0
5.47539E-5,19.254634583,0.088359012,0.123714428,0.133333333,0
5.65263E-5,19.504807637,0.091084824,0.119221168,0.133333333,0
5.95476E-5,19.755024569,0.095712686,0.114927609,0.133333333,0
6.29852E-5,20.006031427,0.100949461,0.110833749,0.133333333,0
6.96718E-5,20.256855065,0.111049213,0.107039441,0.133333333,0
7.65778E-5,20.505903369,0.121361207,0.103644533,0.133333333,0
8.58322E-5,20.757386788,0.1349925,0.100549176,0.133333333,0
9.26735E-5,21.00853306,0.14493321,0.09775337,0.133333333,0
1.0004E-4,21.250357576,0.155509148,0.095257114,0.133333333,0
1.07767E-4,21.500490327,0.166462093,0.092860709,0.133333333,0
1.17936E-4,21.758219107,0.180661772,0.090564154,0.133333333,0
1.25443E-4,22.001694671,0.190987585,0.088567149,0.133333333,0
