Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.58228E-9,0.000000758,0.000014787,1,0,0
7.89902E-9,0.000001548,0.000015405,0.99990007,0,0
8.0856E-9,0.000003157,0.000015769,0.99970021,0,0
8.42238E-9,0.000010575,0.000016425,0.998800839,0,0
8.88877E-9,0.000025294,0.000017335,0.997102029,0,0
2.16718E-8,0.000050404,0.000042264,0.995603078,0,0
5.80112E-8,0.000104276,0.000113129,0.994303987,0,0
7.55152E-8,0.000254921,0.000147262,0.992105526,0,0
9.16835E-8,0.00050624,0.000178789,0.989107625,0,0
1.22303E-7,0.001002509,0.000238491,0.984510842,0,0
1.83401E-7,0.002502364,0.000357611,0.974917558,0,0
2.39308E-7,0.005000886,0.000466599,0.963225742,0,0
3.21535E-7,0.01002046,0.000626872,0.945038473,0,0
5.2591E-7,0.025037108,0.001025124,0.909063655,0,0
7.41688E-7,0.050005828,0.001445422,0.869991006,0,0
1.0337E-6,0.10008688,0.002013925,0.813230738,0,0
1.48947E-6,0.200095156,0.002900604,0.733386629,0,0
2.06966E-6,0.300155507,0.004028186,0.676926152,0,0
2.53877E-6,0.400250642,0.004938972,0.63365644,0,0
2.99491E-6,0.500040281,0.00582375,0.597681623,0,0
3.37054E-6,0.600079412,0.006551799,0.566303587,0,0
3.84463E-6,0.700025542,0.007469908,0.538523034,0,0
4.0579E-6,0.750111665,0.007882641,0.525831918,0,0
4.28644E-6,0.800201081,0.008324725,0.513840312,0,0
4.8467E-6,0.90005827,0.009407681,0.491955631,0,0
5.46212E-6,1.00048876,0.0105959,0.472469272,0,0
6.23202E-6,1.10045119,0.012080359,0.455281303,0,0
7.11814E-6,1.200608773,0.01378614,0.440291796,0,0
8.15798E-6,1.30016952,0.015784094,0.427200959,0,0
9.28504E-6,1.400241641,0.017945071,0.415709004,0,0
1.03925E-5,1.500752998,0.020063828,0.405416209,0,0
1.40048E-5,1.750121704,0.026943071,0.385030479,0,0
1.61718E-5,2.000581754,0.031046595,0.368442091,0,0
1.8147E-5,2.250964894,0.034772025,0.353852303,0,0
2.09341E-5,2.500454598,0.040004246,0.340961327,0,0
2.43815E-5,2.751561684,0.046436949,0.329869092,0,0
2.76248E-5,3.002253972,0.052449299,0.320275807,0,0
3.04832E-5,3.250955502,0.05771682,0.311781753,0,0
3.24809E-5,3.502961805,0.06138087,0.303787349,0,0
3.43498E-5,3.750330614,0.064795602,0.296392525,0,0
3.61551E-5,4.001008416,0.068082508,0.289297492,0,0
3.80885E-5,4.2525705,0.071589809,0.282502248,0,0
4.03255E-5,4.503676679,0.075631242,0.276106725,0,0
4.21574E-5,4.75102867,0.078927839,0.270110922,0,0
4.40557E-5,5.001113958,0.082331507,0.26431498,0,0
4.65578E-5,5.251563092,0.086798558,0.258818827,0,0
4.87939E-5,5.503728509,0.090772203,0.253522534,0,0
5.12769E-5,5.754502689,0.095164431,0.248526032,0,0
5.31981E-5,6.005020147,0.098548372,0.243729389,0,0
5.54012E-5,6.254472361,0.10241319,0.239132607,0,0
5.77639E-5,6.504284538,0.106539569,0.234735685,0,0
6.03185E-5,6.752167587,0.110979785,0.230538623,0,0
6.32737E-5,7.005384901,0.116088889,0.226441491,0,0
6.55561E-5,7.256530651,0.120014585,0.222544219,0,0
