Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.64514E-13,0.000000001,0.000000001,0.996202279,0,0
8.37388E-13,0.000000003,0.000000001,0.994003598,0,0
1.68631E-12,0.00000001,0.000000002,0.987907256,0,0
3.29479E-12,0.000000025,0.000000005,0.981910853,0,0
7.91429E-12,0.000000101,0.000000012,0.968119129,0,0
1.47601E-11,0.000000251,0.000000022,0.954427344,0,0
4.56453E-11,0.000001004,0.000000067,0.927743354,0,0
8.99455E-11,0.000002507,0.000000132,0.904857086,0,0
2.80966E-10,0.000010008,0.000000413,0.86118329,0,0
5.53431E-10,0.00002502,0.000000814,0.823805717,0,0
1.00303E-9,0.000050055,0.000001475,0.790425745,0,0
1.84772E-9,0.000100038,0.000002717,0.754347392,0,0
4.11503E-9,0.000250253,0.000006051,0.701179292,0,0
8.68853E-9,0.000500465,0.000012776,0.660903458,0,0
1.77235E-8,0.001001297,0.000026061,0.620727563,0,0
4.1527E-8,0.002500002,0.000061062,0.567359584,0,0
7.55262E-8,0.005007416,0.000111052,0.523885669,0,0
1.42944E-7,0.010010733,0.000210171,0.476214271,0,0
4.19862E-7,0.025035191,0.000617201,0.414751149,0,0
1.14316E-6,0.050108755,0.001679556,0.379272437,0,0
2.73206E-6,0.100211749,0.004009334,0.350589646,0,0
7.06702E-6,0.200458407,0.010337975,0.328902658,0,0
1.04059E-5,0.300742049,0.015184949,0.317409554,0,0
1.3215E-5,0.401295471,0.019244505,0.308814711,0,0
1.61469E-5,0.500919741,0.023463809,0.302018789,0,0
1.7967E-5,0.601612439,0.026073814,0.296122327,0,0
1.92213E-5,0.700003086,0.027868494,0.290825505,0,0
1.97704E-5,0.750686963,0.028653146,0.288227064,0,0
2.06174E-5,0.801530531,0.029862199,0.285728563,0,0
2.24236E-5,0.900043368,0.032435421,0.281131321,0,0
2.38091E-5,1.001869546,0.034404538,0.27673396,0,0
2.52112E-5,1.100055446,0.036393293,0.272736358,0,0
2.66344E-5,1.201361024,0.038407833,0.268838697,0,0
2.79715E-5,1.302486508,0.040296548,0.265140915,0,0
2.88689E-5,1.402043317,0.041562163,0.261643014,0,0
2.98572E-5,1.501969036,0.042954041,0.258245053,0,0
3.26246E-5,1.750655708,0.046840698,0.25024985,0,0
3.54912E-5,2.002625933,0.050849953,0.242854287,0,0
3.88949E-5,2.251791415,0.055588649,0.236158305,0,0
4.16281E-5,2.501655583,0.059376706,0.229962023,0,0
4.48499E-5,2.752682713,0.063822422,0.224165501,0,0
4.84089E-5,3.000573482,0.068709007,0.218868679,0,0
5.18315E-5,3.255118517,0.073384187,0.213771737,0,0
5.55915E-5,3.50206944,0.078493307,0.209174495,0,0
5.95222E-5,3.754172798,0.083804197,0.204777134,0,0
6.35521E-5,4.000599482,0.089217348,0.200779532,0,0
6.82786E-5,4.250997586,0.095525442,0.196981811,0,0
7.20715E-5,4.503242678,0.10055596,0.19338397,0,0
7.54992E-5,4.753867715,0.105077983,0.189986008,0,0
8.06914E-5,5.004330116,0.111884558,0.186787927,0,0
8.39882E-5,5.250826465,0.116179572,0.183789726,0,0
8.78232E-5,5.500317822,0.121149666,0.180891465,0,0
9.17561E-5,5.751133016,0.126217551,0.178093144,0,0
9.63556E-5,6.005073088,0.132107339,0.175394763,0,0
9.93963E-5,6.2599248,0.135979172,0.172796322,0,0
1.03167E-4,6.502906206,0.140756416,0.170397761,0,0
1.07678E-4,6.756346095,0.146437466,0.1679992,0,0
1.10708E-4,7.007588348,0.150232119,0.16570058,0,0
1.14972E-4,7.256351761,0.155543507,0.163501899,0,0
1.19051E-4,7.501681435,0.160593164,0.161403158,0,0
1.2323E-4,7.755656109,0.165735997,0.159304417,0,0
1.27488E-4,8.006646824,0.170943383,0.157305617,0,0
1.31977E-4,8.253599161,0.17639703,0.155406756,0,0
1.33931E-4,8.506017329,0.178760019,0.153507895,0,0
1.3803E-4,8.751330891,0.183695883,0.151708975,0,0
1.41779E-4,9.003961253,0.188183357,0.149910054,0,0
1.45492E-4,9.262385485,0.192603027,0.148111133,0,0
1.48865E-4,9.512737055,0.196598236,0.146412153,0,0
1.52824E-4,9.753980726,0.201261849,0.144813112,0,0
