Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.23298E-13,0.000000001,0,0.988123752,0,0
3.35481E-13,0.000000003,0,0.98253493,0,0
6.04724E-13,0.00000001,0,0.966467066,0,0
9.50192E-13,0.000000025,0,0.947205589,0,0
1.80859E-12,0.0000001,0.000000001,0.891916168,0,0
3.04296E-12,0.00000025,0.000000001,0.828742515,0,0
1.32765E-11,0.000001,0.000000007,0.714770459,0,0
3.34632E-11,0.0000025,0.000000016,0.648203593,0,0
1.64369E-10,0.000010005,0.000000081,0.556586826,0,0
4.39993E-10,0.000025011,0.000000216,0.502794411,0,0
8.7479E-10,0.00005002,0.000000429,0.462974052,0,0
2.01906E-9,0.000100011,0.000000991,0.425548902,0,0
1.19253E-8,0.000250221,0.00000585,0.392215569,0,0
3.44926E-8,0.000501343,0.000016922,0.380239521,0,0
7.03305E-8,0.001002256,0.000034503,0.370658683,0,0
1.99787E-7,0.002515131,0.000098009,0.358383234,0,0
3.7666E-7,0.005017965,0.000184769,0.349600798,0,0
8.15579E-7,0.010071007,0.000400035,0.340518962,0,0
1.80937E-6,0.025111369,0.000887264,0.329341317,0,0
2.63414E-6,0.05007802,0.00129145,0.318263473,0,0
3.91158E-6,0.100294251,0.001917142,0.302994012,0,0
5.44905E-6,0.200391353,0.002669678,0.281736527,0,0
6.78871E-6,0.300645256,0.003324934,0.265269461,0,0
7.71338E-6,0.400608361,0.003776958,0.251497006,0,0
9.00952E-6,0.500169433,0.004410227,0.239421158,0,0
1.08524E-5,0.600165756,0.005309944,0.229341317,0,0
1.27054E-5,0.700033422,0.006213746,0.220958084,0,0
1.3588E-5,0.750039984,0.006643973,0.217165669,0,0
1.42911E-5,0.801415774,0.006986535,0.213473054,0,0
1.56073E-5,0.900020128,0.007627535,0.206886228,0,0
1.71001E-5,1.000274269,0.008354025,0.200798403,0,0
1.81932E-5,1.10099818,0.00888567,0.19510978,0,0
1.9562E-5,1.201081298,0.009551006,0.189820359,0,0
2.10242E-5,1.30096485,0.010261249,0.18493014,0,0
