Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.09299E-14,0.000000001,0,0.916583814,0,0
6.45803E-14,0.000000003,0,0.884569497,0,0
1.9819E-13,0.00000001,0,0.823921257,0,0
4.84358E-13,0.000000025,0.000000001,0.777291708,0,0
1.92044E-12,0.0000001,0.000000003,0.704414397,0,0
4.89097E-12,0.00000025,0.000000009,0.658381388,0,0
2.54958E-11,0.000001002,0.000000045,0.596142374,0,0
7.458E-11,0.000002502,0.000000132,0.562636707,0,0
4.11449E-10,0.000010002,0.000000727,0.524259296,0,0
1.13063E-9,0.000025069,0.000001997,0.50387751,0,0
2.00761E-9,0.000050033,0.000003547,0.487870352,0,0
4.36026E-9,0.00010012,0.000007703,0.4714655,0,0
1.06204E-8,0.000250686,0.000018762,0.450089481,0,0
2.38564E-8,0.000500742,0.000042144,0.434778286,0,0
5.10669E-8,0.00100251,0.000090211,0.420660171,0,0
1.39001E-7,0.002506955,0.000245529,0.403062239,0,0
2.93531E-7,0.005021237,0.000518419,0.391032014,0,0
5.25881E-7,0.01004312,0.000928591,0.37810698,0,0
1.5952E-6,0.025110014,0.002814118,0.362497514,0,0
3.39177E-6,0.050080173,0.005973998,0.35195864,0,0.071428571
6.52169E-6,0.100080463,0.011455115,0.341916882,0,0.071428571
1.05759E-5,0.200870269,0.01850999,0.330284351,0,0.071428571
1.31566E-5,0.300151387,0.022974511,0.322032213,0,0.071428571
1.61511E-5,0.401534928,0.028129359,0.315172002,0,0.071428571
1.88603E-5,0.501131809,0.03276969,0.309504872,0,0.071428571
2.20422E-5,0.601691151,0.038191319,0.304633128,0,0.071428571
2.51425E-5,0.701651033,0.043444818,0.300457347,0,0.071428571
2.64297E-5,0.75068923,0.045617473,0.298568304,0,0.071428571
2.79985E-5,0.802219719,0.048258876,0.29667926,0,0.071428571
3.0435E-5,0.901671643,0.052346726,0.293298867,0,0.071428571
3.3308E-5,1.000432033,0.057144308,0.290216743,0,0.071428571
3.58725E-5,1.101112294,0.061406234,0.287333466,0,0.071428571
3.77259E-5,1.200496783,0.064474338,0.284649036,0,0.071428571
4.00573E-5,1.302259841,0.068319441,0.282064029,0,0.071428571
4.23242E-5,1.401260228,0.072043121,0.279677868,0,0.071428571
4.37758E-5,1.500303565,0.074419769,0.277391131,0,0.071428571
4.8148E-5,1.750286801,0.081541356,0.272022271,0,0.071428571
5.2198E-5,2.001133708,0.088089228,0.267051104,0,0.071428571
5.5724E-5,2.254481636,0.093751845,0.262378206,0,0.071428571
6.05275E-5,2.503752892,0.101409655,0.258103003,0,0.071428571
6.36012E-5,2.752991059,0.106275785,0.254126069,0,0.071428571
6.78868E-5,3.002773082,0.113016477,0.250347982,0,0.071428571
7.08509E-5,3.252726242,0.117649015,0.246768741,0,0.071428571
7.45156E-5,3.505751187,0.123342874,0.243288924,0,0.071428571
7.67126E-5,3.755270087,0.126738853,0.240007954,0.017241379,0.071428571
7.99978E-5,4.006953546,0.131792209,0.236826407,0.034482759,0.071428571
8.27899E-5,4.251470469,0.136064186,0.233843707,0.034482759,0.142857143
8.60535E-5,4.504272281,0.141030846,0.230861006,0.051724138,0.142857143
8.87423E-5,4.757967209,0.145101296,0.227977729,0.068965517,0.142857143
9.16298E-5,5.002301732,0.14945107,0.225293299,0.068965517,0.142857143
9.40243E-5,5.253029461,0.153041487,0.222608869,0.068965517,0.142857143
9.60039E-5,5.500129762,0.155998223,0.220023862,0.068965517,0.142857143
9.76044E-5,5.751843206,0.158381268,0.217438855,0.068965517,0.142857143
1.00392E-4,6.009569521,0.162516177,0.214853848,0.068965517,0.142857143
1.02255E-4,6.253465151,0.16526765,0.212467687,0.068965517,0.142857143
1.04418E-4,6.501341062,0.168450423,0.210081527,0.086206897,0.142857143
1.07534E-4,6.75564225,0.173015458,0.207695367,0.086206897,0.214285714
1.10368E-4,7.006622031,0.177145535,0.20540863,0.103448276,0.214285714
1.13326E-4,7.252766069,0.181434123,0.203221316,0.120689655,0.214285714
1.15658E-4,7.504488189,0.18480004,0.201034003,0.120689655,0.214285714
1.18547E-4,7.751209859,0.188949243,0.198946113,0.120689655,0.214285714
1.21434E-4,8.003369255,0.193075938,0.196858222,0.120689655,0.214285714
1.22661E-4,8.259865105,0.194822474,0.194770332,0.120689655,0.214285714
1.24426E-4,8.50644414,0.197330344,0.192781865,0.120689655,0.214285714
1.26785E-4,8.758058359,0.200668151,0.190793398,0.120689655,0.214285714
1.29474E-4,9.001519474,0.204455239,0.188904355,0.120689655,0.214285714
1.316E-4,9.262520889,0.207438426,0.186915888,0.120689655,0.214285714
1.33541E-4,9.500814449,0.210151475,0.185126268,0.120689655,0.214285714
1.36042E-4,9.757513038,0.213632677,0.183237224,0.120689655,0.214285714
1.38279E-4,10.004455536,0.216734988,0.181447604,0.120689655,0.214285714
1.40726E-4,10.25590815,0.220113383,0.179657984,0.120689655,0.214285714
1.42435E-4,10.510776236,0.222464448,0.177868363,0.120689655,0.214285714
1.44208E-4,10.754735572,0.224896237,0.176178167,0.120689655,0.214285714
1.4636E-4,11.001761778,0.227836634,0.17448797,0.137931034,0.214285714
